dataset,variant,endpoint,mean_delta,median_delta,n_sessions,positive_sessions
CRCNS pvc-11,A5,B5,0.015238095238095162,0.020714285714285685,3,3
CRCNS pvc-11,A5,CLEAN,0.0,0.0,3,0
CRCNS pvc-11,A5,Five-Missing Mean,0.0634761904761905,0.06642857142857139,3,3
CRCNS pvc-11,A5,Five-Missing Worst,0.16047619047619047,0.16642857142857137,3,3
CRCNS pvc-11,A5,J30-5,0.13428571428571426,0.12142857142857133,3,3
CRCNS pvc-11,A5,SW-U30,0.07738095238095233,0.042857142857142816,3,3
CRCNS pvc-11,A5,T5,0.012857142857142826,0.011428571428571344,3,3
CRCNS pvc-11,A5,U30,0.07761904761904766,0.08000000000000007,3,3
CRCNS pvc-11,A7,B5,0.007023809523809543,0.005357142857142838,3,3
CRCNS pvc-11,A7,CLEAN,0.00714285714285708,0.0035714285714284477,3,3
CRCNS pvc-11,A7,Five-Missing Mean,0.008761904761904749,0.004928571428571504,3,3
CRCNS pvc-11,A7,Five-Missing Worst,0.00809523809523808,0.005357142857142838,3,3
CRCNS pvc-11,A7,J30-5,0.007738095238095211,0.004285714285714226,3,3
CRCNS pvc-11,A7,SW-U30,0.009523809523809526,0.005357142857142727,3,3
CRCNS pvc-11,A7,T5,0.009166666666666656,0.004285714285714337,3,3
CRCNS pvc-11,A7,U30,0.010357142857142954,0.00535714285714306,3,3
