dataset,animal_id,variant,endpoint,full_minus_ablated
Allen VBN,521466,A3,CLEAN,0.0018167311388636032
Allen VBN,521466,A3,Five-Missing Mean,0.00332885918090553
Allen VBN,521466,A3,Five-Missing Worst,0.0015093365659467617
Allen VBN,521466,A3,J30-5,0.006091307793385625
Allen VBN,521466,A3,SW-U30,0.0016700838410965702
Allen VBN,521466,A3,T5,0.004145217621030262
Allen VBN,521466,A3,U30,0.00473768664901586
Allen VBN,521466,A4,B5,-0.004032048276926714
Allen VBN,521466,A4,CLEAN,0.0
Allen VBN,521466,A4,Five-Missing Mean,0.0014316819111664936
Allen VBN,521466,A4,Five-Missing Worst,0.0014802358298589002
Allen VBN,521466,A4,J30-5,0.006062207057297764
Allen VBN,521466,A4,SW-U30,0.0013341056562381493
Allen VBN,521466,A4,T5,0.0011228665307392305
Allen VBN,521466,A4,U30,0.0026712785884838164
Allen VBN,521466,A5,B5,0.0014351216933529143
Allen VBN,521466,A5,CLEAN,0.0
Allen VBN,521466,A5,Five-Missing Mean,0.0056678636421274575
Allen VBN,521466,A5,Five-Missing Worst,0.015627926319527363
Allen VBN,521466,A5,J30-5,0.020209897546966227
Allen VBN,521466,A5,SW-U30,0.0013341056562381493
Allen VBN,521466,A5,T5,0.001838925245268297
Allen VBN,521466,A5,U30,0.0035212680688121445
Allen VBN,521466,A7,B5,0.009103609557587489
Allen VBN,521466,A7,CLEAN,0.00469783601363738
Allen VBN,521466,A7,Five-Missing Mean,0.005957940993486899
Allen VBN,521466,A7,Five-Missing Worst,0.009103609557587489
Allen VBN,521466,A7,J30-5,0.00581537904830276
Allen VBN,521466,A7,SW-U30,0.003623264898823808
Allen VBN,521466,A7,T5,0.005492667376686966
Allen VBN,521466,A7,U30,0.005754784086033471
Allen VBN,524760,A1,B5,0.0011340714750485148
Allen VBN,524760,A1,CLEAN,0.0015824444833013596
Allen VBN,524760,A1,Five-Missing Mean,0.0014515227987068613
Allen VBN,524760,A1,Five-Missing Worst,0.0011340714750485148
Allen VBN,524760,A1,J30-5,0.002364225211373361
Allen VBN,524760,A1,SW-U30,0.0008305647840531893
Allen VBN,524760,A1,T5,0.0018140633928134253
Allen VBN,524760,A1,U30,0.0011146891302458162
Allen VBN,524760,A2,B5,0.013679428604683408
Allen VBN,524760,A2,CLEAN,0.016080142202327008
Allen VBN,524760,A2,Five-Missing Mean,0.017304707120505247
Allen VBN,524760,A2,Five-Missing Worst,0.01653944121820028
Allen VBN,524760,A2,J30-5,0.017354058123140614
Allen VBN,524760,A2,SW-U30,0.017952644498712367
Allen VBN,524760,A2,T5,0.022917256052844337
Allen VBN,524760,A2,U30,0.014620148323145399
Allen VBN,524760,A3,B5,0.0
Allen VBN,524760,A3,CLEAN,0.004470303324293212
Allen VBN,524760,A3,Five-Missing Mean,0.004818461761369908
Allen VBN,524760,A3,Five-Missing Worst,0.004494868227603033
Allen VBN,524760,A3,J30-5,0.010490119888986293
Allen VBN,524760,A3,SW-U30,0.001834130781499299
Allen VBN,524760,A3,T5,0.007827842550090502
Allen VBN,524760,A3,U30,0.0039402155862738875
Allen VBN,524760,A4,B5,-0.006377814834644058
Allen VBN,524760,A4,CLEAN,0.0
Allen VBN,524760,A4,Five-Missing Mean,-0.000720353590421996
Allen VBN,524760,A4,Five-Missing Worst,-0.0035199566585483177
Allen VBN,524760,A4,J30-5,0.002475295002834943
Allen VBN,524760,A4,SW-U30,0.0
Allen VBN,524760,A4,T5,0.00015037593984956743
Allen VBN,524760,A4,U30,0.00015037593984956743
Allen VBN,524760,A5,B5,0.009850040918764624
Allen VBN,524760,A5,CLEAN,0.0
Allen VBN,524760,A5,Five-Missing Mean,0.0028558530215856415
Allen VBN,524760,A5,Five-Missing Worst,0.009850040918764624
Allen VBN,524760,A5,J30-5,0.0024349987018285058
Allen VBN,524760,A5,SW-U30,0.0
Allen VBN,524760,A5,T5,0.00040897698792430326
Allen VBN,524760,A5,U30,0.0015852484994113292
Allen VBN,524760,A7,B5,0.008233964571047192
Allen VBN,524760,A7,CLEAN,0.0009170653907495385
Allen VBN,524760,A7,Five-Missing Mean,0.003523878892913279
Allen VBN,524760,A7,Five-Missing Worst,0.008233964571047192
Allen VBN,524760,A7,J30-5,0.0030502976001329785
Allen VBN,524760,A7,SW-U30,0.000982294445791898
Allen VBN,524760,A7,T5,0.003072264713880668
Allen VBN,524760,A7,U30,0.0022805731337141033
Allen VBN,524761,A1,B5,-0.0011111813050003194
Allen VBN,524761,A1,CLEAN,0.0025237871482446383
Allen VBN,524761,A1,Five-Missing Mean,0.0026410105386771576
Allen VBN,524761,A1,Five-Missing Worst,0.005312556977650373
Allen VBN,524761,A1,J30-5,0.008028369477907138
Allen VBN,524761,A1,SW-U30,0.00019127647365324574
Allen VBN,524761,A1,T5,0.002641288958384558
Allen VBN,524761,A1,U30,0.003455299088441166
Allen VBN,524761,A2,B5,0.016219814040322522
Allen VBN,524761,A2,CLEAN,0.021992911302657125
Allen VBN,524761,A2,Five-Missing Mean,0.023885499738646954
Allen VBN,524761,A2,Five-Missing Worst,0.03028983639585997
Allen VBN,524761,A2,J30-5,0.033005648896116735
Allen VBN,524761,A2,SW-U30,0.024073419617830938
Allen VBN,524761,A2,T5,0.021373894406056915
Allen VBN,524761,A2,U30,0.02475472173290766
Allen VBN,524761,A3,B5,0.0
Allen VBN,524761,A3,CLEAN,0.006146513871084447
Allen VBN,524761,A3,Five-Missing Mean,0.008772045579878096
Allen VBN,524761,A3,Five-Missing Worst,0.018012910312401154
Allen VBN,524761,A3,J30-5,0.020728722812657918
Allen VBN,524761,A3,SW-U30,0.006956542065955085
Allen VBN,524761,A3,T5,0.007285973037683413
Allen VBN,524761,A3,U30,0.008888989983093953
Allen VBN,524761,A4,B5,-0.00448178417110523
Allen VBN,524761,A4,CLEAN,0.0
Allen VBN,524761,A4,Five-Missing Mean,0.004060407287285628
Allen VBN,524761,A4,Five-Missing Worst,0.016939449311772603
Allen VBN,524761,A4,J30-5,0.019655261812029368
Allen VBN,524761,A4,SW-U30,0.0008547740161415351
Allen VBN,524761,A4,T5,0.000826890766723043
Allen VBN,524761,A4,U30,0.0034468940126395897
Allen VBN,524761,A5,B5,0.002359152225324568
Allen VBN,524761,A5,CLEAN,0.0
Allen VBN,524761,A5,Five-Missing Mean,0.010807067917685431
Allen VBN,524761,A5,Five-Missing Worst,0.040526978751666776
Allen VBN,524761,A5,J30-5,0.04324279125192354
Allen VBN,524761,A5,SW-U30,0.0011600243213918393
Allen VBN,524761,A5,T5,0.0021229569296771778
Allen VBN,524761,A5,U30,0.005150414860110086
Allen VBN,524761,A7,B5,0.004067368180150688
Allen VBN,524761,A7,CLEAN,0.007139550873758949
Allen VBN,524761,A7,Five-Missing Mean,0.008080829177300075
Allen VBN,524761,A7,Five-Missing Worst,0.010814324212662874
Allen VBN,524761,A7,J30-5,0.013013487411268565
Allen VBN,524761,A7,SW-U30,0.005544692227215875
Allen VBN,524761,A7,T5,0.008593355866114427
Allen VBN,524761,A7,U30,0.00918524220175082
Allen VBN,527749,A1,B5,0.0005923796159817973
Allen VBN,527749,A1,CLEAN,0.001194132546219806
Allen VBN,527749,A1,Five-Missing Mean,0.001395139433179815
Allen VBN,527749,A1,Five-Missing Worst,0.0005923796159817973
Allen VBN,527749,A1,J30-5,0.002637347259970668
Allen VBN,527749,A1,SW-U30,0.0
Allen VBN,527749,A1,T5,0.0019251668813657918
Allen VBN,527749,A1,U30,0.0018208034085811509
Allen VBN,527749,A2,B5,0.0020245584149375384
Allen VBN,527749,A2,CLEAN,0.006201424172980308
Allen VBN,527749,A2,Five-Missing Mean,0.005833716413381818
Allen VBN,527749,A2,Five-Missing Worst,0.007758053755087646
Allen VBN,527749,A2,J30-5,0.00684545107459511
Allen VBN,527749,A2,SW-U30,0.0031585321990539317
Allen VBN,527749,A2,T5,0.01252589904440482
Allen VBN,527749,A2,U30,0.004614141333917132
Allen VBN,527749,A3,B5,0.0
Allen VBN,527749,A3,CLEAN,0.003807882848404498
Allen VBN,527749,A3,Five-Missing Mean,0.004592537961321308
Allen VBN,527749,A3,Five-Missing Worst,0.004583246985803036
Allen VBN,527749,A3,J30-5,0.004650111695477466
Allen VBN,527749,A3,SW-U30,0.0025264209474735733
Allen VBN,527749,A3,T5,0.00935109227512021
Allen VBN,527749,A3,U30,0.006435064888534847
Allen VBN,527749,A4,B5,-0.00475364895933128
Allen VBN,527749,A4,CLEAN,0.0
Allen VBN,527749,A4,Five-Missing Mean,0.0002404997136515874
Allen VBN,527749,A4,Five-Missing Worst,-0.0019334146546337028
Allen VBN,527749,A4,J30-5,0.0028202343046975775
Allen VBN,527749,A4,SW-U30,0.0
Allen VBN,527749,A4,T5,0.002137308615930089
Allen VBN,527749,A4,U30,0.0009986046069616616
Allen VBN,527749,A5,B5,0.00363470005673161
Allen VBN,527749,A5,CLEAN,0.0
Allen VBN,527749,A5,Five-Missing Mean,0.002630288755666621
Allen VBN,527749,A5,Five-Missing Worst,0.00363470005673161
Allen VBN,527749,A5,J30-5,0.004979253230633973
Allen VBN,527749,A5,SW-U30,0.0
Allen VBN,527749,A5,T5,0.0022772903366956587
Allen VBN,527749,A5,U30,0.00226020015427153
Allen VBN,527749,A7,B5,-0.0001983510271481581
Allen VBN,527749,A7,CLEAN,0.0009030443240969355
Allen VBN,527749,A7,Five-Missing Mean,0.0015297850033203497
Allen VBN,527749,A7,Five-Missing Worst,-0.0001983510271481581
Allen VBN,527749,A7,J30-5,0.002250546779870022
Allen VBN,527749,A7,SW-U30,0.0006138598243861093
Allen VBN,527749,A7,T5,0.003145177804939392
Allen VBN,527749,A7,U30,0.0018376916345544947
Allen VBN,531237,A1,B5,0.0075160435842771545
Allen VBN,531237,A1,CLEAN,0.007540631455376645
Allen VBN,531237,A1,Five-Missing Mean,0.0126724557804071
Allen VBN,531237,A1,Five-Missing Worst,0.02457382101017147
Allen VBN,531237,A1,J30-5,0.025678390775080717
Allen VBN,531237,A1,SW-U30,0.0032208238100565056
Allen VBN,531237,A1,T5,0.009679914944018209
Allen VBN,531237,A1,U30,0.017267105788602577
Allen VBN,531237,A2,B5,0.04166679951001262
Allen VBN,531237,A2,CLEAN,0.04709221243830519
Allen VBN,531237,A2,Five-Missing Mean,0.05688629417004798
Allen VBN,531237,A2,Five-Missing Worst,0.07510340664537418
Allen VBN,531237,A2,J30-5,0.07620797641028343
Allen VBN,531237,A2,SW-U30,0.05010444984015283
Allen VBN,531237,A2,T5,0.05093260189295723
Allen VBN,531237,A2,U30,0.06551964319683401
Allen VBN,531237,A3,B5,0.0
Allen VBN,531237,A3,CLEAN,0.003114278470695342
Allen VBN,531237,A3,Five-Missing Mean,0.009429222163444329
Allen VBN,531237,A3,Five-Missing Worst,0.02327325236752542
Allen VBN,531237,A3,J30-5,0.024377822132434668
Allen VBN,531237,A3,SW-U30,0.0018317728989009074
Allen VBN,531237,A3,T5,0.004380671482329901
Allen VBN,531237,A3,U30,0.01655584430355639
Allen VBN,531237,A4,B5,-0.003473553818181929
Allen VBN,531237,A4,CLEAN,0.0
Allen VBN,531237,A4,Five-Missing Mean,0.006841675095729527
Allen VBN,531237,A4,Five-Missing Worst,0.032091268434988995
Allen VBN,531237,A4,J30-5,0.03319583819989824
Allen VBN,531237,A4,SW-U30,-0.000655307994757659
Allen VBN,531237,A4,T5,0.001110797696176613
Allen VBN,531237,A4,U30,0.004030601395512701
Allen VBN,531237,A5,B5,0.0026845498641039356
Allen VBN,531237,A5,CLEAN,0.0
Allen VBN,531237,A5,Five-Missing Mean,0.013059722512452132
Allen VBN,531237,A5,Five-Missing Worst,0.05222829059484202
Allen VBN,531237,A5,J30-5,0.053332860359751266
Allen VBN,531237,A5,SW-U30,-0.000655307994757659
Allen VBN,531237,A5,T5,0.0024893301054250694
Allen VBN,531237,A5,U30,0.007447180227738492
Allen VBN,531237,A7,B5,0.011959722331669975
Allen VBN,531237,A7,CLEAN,0.01062804804769224
Allen VBN,531237,A7,Five-Missing Mean,0.01468879415349722
Allen VBN,531237,A7,Five-Missing Worst,0.025031219876202826
Allen VBN,531237,A7,J30-5,0.026135789641112073
Allen VBN,531237,A7,SW-U30,0.0032067829626538646
Allen VBN,531237,A7,T5,0.01102521251752031
Allen VBN,531237,A7,U30,0.021116463314529987
Allen VBN,544837,A1,B5,0.0037745741338083283
Allen VBN,544837,A1,CLEAN,0.0006225781277816589
Allen VBN,544837,A1,Five-Missing Mean,0.0021501155285912343
Allen VBN,544837,A1,Five-Missing Worst,0.0037745741338083283
Allen VBN,544837,A1,J30-5,0.003337369075972818
Allen VBN,544837,A1,SW-U30,0.0
Allen VBN,544837,A1,T5,0.0018942005021044261
Allen VBN,544837,A1,U30,0.0017444339310708212
Allen VBN,544837,A2,B5,9.261441102914603e-06
Allen VBN,544837,A2,CLEAN,0.004807732279451193
Allen VBN,544837,A2,Five-Missing Mean,0.005610743145843422
Allen VBN,544837,A2,Five-Missing Worst,0.003057827147684433
Allen VBN,544837,A2,J30-5,0.008879395210430685
Allen VBN,544837,A2,SW-U30,0.006337785506658533
Allen VBN,544837,A2,T5,0.0076263881228778585
Allen VBN,544837,A2,U30,0.00520088544814723
Allen VBN,544837,A3,B5,0.0
Allen VBN,544837,A3,CLEAN,0.0042603464574190175
Allen VBN,544837,A3,Five-Missing Mean,0.006822627615128196
Allen VBN,544837,A3,Five-Missing Worst,0.0072919726161734255
Allen VBN,544837,A3,J30-5,0.013113540678919677
Allen VBN,544837,A3,SW-U30,0.00794259936951025
Allen VBN,544837,A3,T5,0.007549795900354539
Allen VBN,544837,A3,U30,0.005507202126857291
Allen VBN,544837,A4,B5,-0.006034904170322264
Allen VBN,544837,A4,CLEAN,0.0
Allen VBN,544837,A4,Five-Missing Mean,0.0020490617239984354
Allen VBN,544837,A4,Five-Missing Worst,0.0030789363453400664
Allen VBN,544837,A4,J30-5,0.008900504408086318
Allen VBN,544837,A4,SW-U30,0.0031773339597007677
Allen VBN,544837,A4,T5,0.0011239548700981983
Allen VBN,544837,A4,U30,0.003078419552429601
