dataset,animal_id,endpoint,overall_strongest_baseline,MMRVD_value,baseline_value,paired_difference
Allen VBN,510589,T5,SVM,0.9992540553036824,0.9866867212585616,0.012567334045120782
Allen VBN,521466,T5,SVM,0.9992552883422183,0.9878326599491942,0.011422628393024103
Allen VBN,524760,T5,SVM,0.999378056959644,0.983148374503813,0.016229682455831007
Allen VBN,524761,T5,SVM,0.9932315873323012,0.9751342768675819,0.018097310464719296
Allen VBN,527749,T5,SVM,0.999256276289921,0.9721101964035177,0.027146079886403274
Allen VBN,531237,T5,SVM,0.9975956306786893,0.9481307991170951,0.0494648315615942
Allen VBN,544837,T5,SVM,0.9996729806071782,0.9881655229911495,0.011507457616028782
Allen VBN,546507,T5,SVM,0.9984998491750199,0.9760775531199068,0.022422296055113033
Allen VBN,563497,T5,SVM,0.9981425959613814,0.981664318917929,0.016478277043452394
Allen VBN,567286,T5,SVM,0.9988002425740363,0.9899984148050931,0.008801827768943227
Allen VBN,570301,T5,SVM,0.9944137269418214,0.9511230821619499,0.043290644779871545
Allen VBN,506940,B5,SVM,0.9988801379358148,0.9413904788697864,0.05748965906602832
Allen VBN,510589,B5,SVM,0.9975833746090441,0.9614052183700863,0.036178156238957815
Allen VBN,521466,B5,SVM,0.9970128187361282,0.981736206314834,0.015276612421294189
Allen VBN,524760,B5,SVM,0.9994192799070849,0.9810386434064031,0.01838063650068178
Allen VBN,524761,B5,SVM,0.9912836884396283,0.9594768088800001,0.03180687955962824
Allen VBN,527749,B5,SVM,0.9987375285658547,0.9723099170423882,0.02642761152346651
Allen VBN,531237,B5,SVM,0.9980082025049268,0.9124417227146334,0.08556647979029341
Allen VBN,544837,B5,SVM,0.9994465648360867,0.9926674716312447,0.006779093204842046
Allen VBN,546507,B5,SVM,0.9994198694706308,0.9834759834826345,0.01594388598799623
Allen VBN,563497,B5,SVM,0.9944543159925402,0.9864175511636943,0.008036764828845855
Allen VBN,567286,B5,SVM,0.9914331245177144,0.9939153866509285,-0.0024822621332141193
Allen VBN,570301,B5,SVM,0.9784703397979004,0.9619844867048306,0.016485853093069824
Allen VBN,506940,J30-5,SVM,0.9991670690442666,0.9445809503022173,0.05458611874204922
Allen VBN,510589,J30-5,SVM,0.998898237271213,0.9728171847817326,0.02608105248948034
Allen VBN,521466,J30-5,SVM,0.9987631845450068,0.9744641176485783,0.024299066896428467
Allen VBN,524760,J30-5,SVM,0.9986489211692924,0.9773122828587926,0.02133663831049981
Allen VBN,524761,J30-5,SVM,0.9926806075035758,0.9546936259072055,0.03798698159637026
Allen VBN,527749,J30-5,SVM,0.9981510096984479,0.9570077891405353,0.04114322055791264
Allen VBN,531237,J30-5,SVM,0.9979740277071485,0.9247482646686209,0.07322576303852757
Allen VBN,544837,J30-5,SVM,0.9989257931471295,0.9805938902153476,0.018331902931781885
Allen VBN,546507,J30-5,SVM,0.9982916887277842,0.9598505916414178,0.03844109708636634
Allen VBN,563497,J30-5,SVM,0.9980374609906668,0.9667492818062196,0.03128817918444726
Allen VBN,567286,J30-5,SVM,0.998352571257627,0.9769249159310951,0.021427655326531903
Allen VBN,570301,J30-5,SVM,0.9906297436546767,0.9160982531914474,0.07453149046322927
Allen VBN,506940,Five-Missing Mean,SVM,0.9987201723336845,0.9516541546123098,0.04706601772137464
Allen VBN,510589,Five-Missing Mean,SVM,0.9988058072272606,0.9755221437052992,0.02328366352196143
Allen VBN,521466,Five-Missing Mean,SVM,0.998770617676659,0.9833696437402863,0.01540097393637263
Allen VBN,524760,Five-Missing Mean,SVM,0.9990423425103467,0.9818932259602253,0.017149116550121413
Allen VBN,524761,Five-Missing Mean,SVM,0.993184358321189,0.9671795570080616,0.026004801313127435
Allen VBN,527749,Five-Missing Mean,SVM,0.9989875226568232,0.9735580266039239,0.025429496052899347
Allen VBN,531237,Five-Missing Mean,SVM,0.9979446863870935,0.9288803583314463,0.06906432805564722
Allen VBN,544837,Five-Missing Mean,SVM,0.9994702591582177,0.9885919281809155,0.010878330977302286
Allen VBN,546507,Five-Missing Mean,SVM,0.9990284020265099,0.9756313115018184,0.02339709052469152
Allen VBN,563497,Five-Missing Mean,SVM,0.997728693708078,0.9803175071388487,0.017411186569229353
Allen VBN,567286,Five-Missing Mean,SVM,0.9971867157993636,0.9885265592342356,0.008660156565127974
Allen VBN,570301,Five-Missing Mean,SVM,0.9908780411676981,0.9474322792150738,0.043445761952624284
Allen VBN,506940,Five-Missing Worst,SVM,0.99689824647233,0.9413904788697864,0.05550776760254361
Allen VBN,510589,Five-Missing Worst,SVM,0.9975833746090441,0.9614052183700863,0.036178156238957815
Allen VBN,521466,Five-Missing Worst,SVM,0.9970128187361282,0.9744641176485783,0.022548701087549916
Allen VBN,524760,Five-Missing Worst,SVM,0.9986489211692924,0.9773122828587926,0.02133663831049981
Allen VBN,524761,Five-Missing Worst,SVM,0.9912836884396283,0.9421875474964156,0.049096140943212685
Allen VBN,527749,Five-Missing Worst,SVM,0.9981510096984479,0.9570077891405353,0.04114322055791264
Allen VBN,531237,Five-Missing Worst,SVM,0.9975956306786893,0.9124417227146334,0.08515390796405586
Allen VBN,544837,Five-Missing Worst,SVM,0.9989257931471295,0.9805938902153476,0.018331902931781885
Allen VBN,546507,Five-Missing Worst,SVM,0.9982916887277842,0.9598505916414178,0.03844109708636634
Allen VBN,563497,Five-Missing Worst,SVM,0.9944543159925402,0.9667492818062196,0.027705034186320643
Allen VBN,567286,Five-Missing Worst,SVM,0.9914331245177144,0.9769249159310951,0.014508208586619276
Allen VBN,570301,Five-Missing Worst,SVM,0.9784703397979004,0.9160982531914474,0.06237208660645299
CRCNS pvc-11,monkey1,CLEAN,CEBRA,0.9785714285714284,0.9864285714285714,-0.007857142857143007
CRCNS pvc-11,monkey2,CLEAN,CEBRA,0.9964285714285712,0.9914285714285713,0.004999999999999893
CRCNS pvc-11,monkey3,CLEAN,CEBRA,0.9964285714285712,0.9949999999999999,0.0014285714285713347
CRCNS pvc-11,monkey1,U30,CEBRA,0.9528571428571426,0.9575714285714285,-0.004714285714285893
CRCNS pvc-11,monkey2,U30,CEBRA,0.9764285714285714,0.9504285714285714,0.026000000000000023
CRCNS pvc-11,monkey3,U30,CEBRA,0.997142857142857,0.9899999999999999,0.0071428571428571175
CRCNS pvc-11,monkey1,SW-U30,CEBRA,0.9528571428571426,0.9575714285714285,-0.004714285714285893
CRCNS pvc-11,monkey2,SW-U30,CEBRA,0.9764285714285714,0.9504285714285714,0.026000000000000023
CRCNS pvc-11,monkey3,SW-U30,CEBRA,0.997142857142857,0.9899999999999999,0.0071428571428571175
CRCNS pvc-11,monkey1,T5,CEBRA,0.9457142857142855,0.9631428571428572,-0.017428571428571682
CRCNS pvc-11,monkey2,T5,CEBRA,0.9864285714285714,0.9847142857142858,0.0017142857142856682
CRCNS pvc-11,monkey3,T5,CEBRA,0.9985714285714284,0.9952857142857143,0.003285714285714114
CRCNS pvc-11,monkey1,B5,CEBRA,0.9285714285714286,0.9857142857142858,-0.05714285714285716
CRCNS pvc-11,monkey2,B5,CEBRA,0.9821428571428573,0.9828571428571429,-0.0007142857142855563
CRCNS pvc-11,monkey3,B5,CEBRA,0.9964285714285712,0.997142857142857,-0.0007142857142857784
CRCNS pvc-11,monkey1,J30-5,CEBRA,0.9285714285714285,0.8528571428571429,0.07571428571428562
CRCNS pvc-11,monkey2,J30-5,CEBRA,0.9628571428571429,0.8937142857142858,0.06914285714285706
CRCNS pvc-11,monkey3,J30-5,CEBRA,0.9935714285714285,0.9717142857142858,0.021857142857142797
CRCNS pvc-11,monkey1,Five-Missing Mean,CEBRA,0.9417142857142856,0.9433714285714286,-0.0016571428571430236
CRCNS pvc-11,monkey2,Five-Missing Mean,CEBRA,0.9768571428571429,0.9524285714285714,0.024428571428571466
CRCNS pvc-11,monkey3,Five-Missing Mean,CEBRA,0.9965714285714284,0.9888285714285715,0.00774285714285694
CRCNS pvc-11,monkey1,Five-Missing Worst,CEBRA,0.9285714285714285,0.8528571428571429,0.07571428571428562
CRCNS pvc-11,monkey2,Five-Missing Worst,CEBRA,0.9628571428571429,0.8937142857142858,0.06914285714285706
CRCNS pvc-11,monkey3,Five-Missing Worst,CEBRA,0.9935714285714285,0.9717142857142858,0.021857142857142797
