dataset,session,animal,severity_type,severity_value,severity_unit,replicate,mask_seed,n_units_total,n_units_missing,n_bins_total,n_bins_missing,mask_source,mask_file,mask_hash,protocol_hash
Allen VBN,1069458330,544837,UNIT,0.5,proportion,0,914749497,,659.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,f35379aaa33424e762ed2df7c00b278c7f2a5d1496a7f2227b92ecb87d8229d5,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.5,proportion,1,1146104856,,659.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,eb6f4937a7bbe3ddeba2188f698853bb433568ca91d1f9fcfb7288d9f9b85063,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.5,proportion,2,1389509249,,659.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,d354a5220135b4cb13a82d80c2e82061dac3d9a8bb9ba18cd488c652fe5e94e2,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.5,proportion,3,2062065245,,659.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,6703a2f39e98fa7c10309d0707dccdee5614083838f416611bfd7289eaacf96d,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.5,proportion,4,3028775026,,659.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,279e4b846ebb459e042dcb12cac868afebbe19719f7858a7ee5e71d49f2c812f,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,2.0,bins,0,3177313739,,0.0,25,2.0,NEW_SUPP_S1_FIXED_SEED,,d28c63aa8ffb77d4c2152e1eefbdf3bce550f9816e2b726e0f09061933e1946f,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,2.0,bins,1,3229403429,,0.0,25,2.0,NEW_SUPP_S1_FIXED_SEED,,8d016d2857ec95d6cec93f85516b88c97bcca3d66bac7370fdb941417d48b069,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,2.0,bins,2,4281176227,,0.0,25,2.0,NEW_SUPP_S1_FIXED_SEED,,c569270777f500817e8c4b230690e9f13764c9721f0b79d32a544aad6a399f50,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,2.0,bins,3,1083284084,,0.0,25,2.0,NEW_SUPP_S1_FIXED_SEED,,ea6c5ef0a29cfe34c6e829c71089cd0597e16295aab36af05d01c715be27108c,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,2.0,bins,4,3315033112,,0.0,25,2.0,NEW_SUPP_S1_FIXED_SEED,,8155a6a68c30f2579c77d66c578431fed06c202f6bc5de158d9220f2991d1e51,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,3.0,bins,0,3801119017,,0.0,25,3.0,NEW_SUPP_S1_FIXED_SEED,,294ca157fd876e681817a60db158af3c5cc80e24ddf9589ccef7313e1d20dc46,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,3.0,bins,1,836706957,,0.0,25,3.0,NEW_SUPP_S1_FIXED_SEED,,ff8a26f07ab16188e7fcd526fbb9e9e4928cb7c2526ea2accf1c7292d710356b,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,3.0,bins,2,1763111822,,0.0,25,3.0,NEW_SUPP_S1_FIXED_SEED,,33a19c73d14c5112fbb3893bc47b74ccec3dcd302b09cf0cb492da1b0c4e1ed4,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,3.0,bins,3,2399840060,,0.0,25,3.0,NEW_SUPP_S1_FIXED_SEED,,37946e9faa7bce85bd5a8cf892df09d545fb95bf144568274d3fb4b905d487be,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,3.0,bins,4,441298647,,0.0,25,3.0,NEW_SUPP_S1_FIXED_SEED,,0ed92967532147c7184601d86cfc7a33af1f3ac462072aa1e00226558c4d502f,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,0,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,9f99e47d630a1de39c979110e5c6c5053e1520543555450b9d3db6adf87637c6,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,1,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,313f847c503d95dec059d29bb7c0ba3f42d8389457d52a86d907d522b8fa3cfd,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,2,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,bed2e0f1321ced2ee4a8b8f4c3dbd0f9e98516c7fc651019e121e135e659d440,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,3,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,3f28e921e021b870bb6b5641a7314e8c7ba9d433274fca2526c78fc7bbb1430a,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,4,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,e844a50044aee1d0720c6af7f67dd23746bed6c3107ac97e7e555227e24c08c7,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,7.0,bins,0,3888422970,,0.0,25,7.0,NEW_SUPP_S1_FIXED_SEED,,948f31c110195c8f705b28e24e780951dcd8216a7fdd6ebd887a64eb7e5908ce,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,7.0,bins,1,3407048728,,0.0,25,7.0,NEW_SUPP_S1_FIXED_SEED,,c571859629729bf0ea20baaeed57d536909dbf017b19676f4e9f942797516a12,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,7.0,bins,2,3003140902,,0.0,25,7.0,NEW_SUPP_S1_FIXED_SEED,,a24817ea1b596c74dbe01e45a1fc68c4451fc5cf26bc9a38f67d48aa18e1a2f5,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
