dataset,model,model_id,endpoint,CN_BalAcc,animal_id
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,CLEAN,0.9710293007895527,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,U30,0.8963532057881481,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,SW-U30,0.8963532057881481,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,T5,0.8817635486101697,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,B5,0.8407482703581687,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,J30-5,0.7931131333665955,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,Five-Missing Mean,0.861666272782246,506940
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,Five-Missing Worst,0.7867057076773991,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,CLEAN,0.0,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,U30,-0.000449245496507424,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,SW-U30,-0.000449245496507424,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,T5,-0.002576131022847732,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,B5,-0.0025040269611063598,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,J30-5,0.00021827257793389184,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,Five-Missing Mean,-0.0011520752798070094,506940
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,Five-Missing Worst,-0.003816749534781792,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,CLEAN,0.9993131868131868,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,U30,0.999327704108006,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,SW-U30,0.999327704108006,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,T5,0.99689824647233,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,B5,0.9988801379358148,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,J30-5,0.9991670690442666,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,Five-Missing Mean,0.9987201723336845,506940
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,Five-Missing Worst,0.99689824647233,506940
Allen VBN,SVD,SVD64_LOGREG,CLEAN,0.7008062288346539,506940
Allen VBN,SVD,SVD64_LOGREG,U30,0.6861975196206103,506940
Allen VBN,SVD,SVD64_LOGREG,SW-U30,0.6861975196206103,506940
Allen VBN,SVD,SVD64_LOGREG,T5,0.6476655324808935,506940
Allen VBN,SVD,SVD64_LOGREG,B5,0.5639044035218364,506940
Allen VBN,SVD,SVD64_LOGREG,J30-5,0.6755851030729424,506940
Allen VBN,SVD,SVD64_LOGREG,Five-Missing Mean,0.6519100156633786,506940
Allen VBN,SVD,SVD64_LOGREG,Five-Missing Worst,0.5639044035218364,506940
Allen VBN,SVM,MEAN_RATE_LINEAR_SVM,CLEAN,0.9769891811669158,506940
Allen VBN,SVM,MEAN_RATE_LINEAR_SVM,U30,0.9633644648735115,506940
Allen VBN,SVM,MEAN_RATE_LINEAR_SVM,SW-U30,0.9633644648735115,506940
Allen VBN,SVM,MEAN_RATE_LINEAR_SVM,T5,0.9455704141425222,506940
Allen VBN,SVM,MEAN_RATE_LINEAR_SVM,B5,0.9413904788697864,506940
Allen VBN,SVM,MEAN_RATE_LINEAR_SVM,J30-5,0.9445809503022173,506940
