dataset,model,model_id,endpoint,CN_BalAcc,n_animals,n_sessions,source_status,source_manifest,aggregation_protocol_hash
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,CLEAN,0.9988071506145388,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,U30,0.9984237994322402,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,SW-U30,0.9983820337507772,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,T5,0.9978665447198519,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,B5,0.9953457704427796,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,J30-5,0.9973766928930696,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,Five-Missing Mean,0.9974789682477437,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,MM-RVD,MM_RVD_A9_SELECTED_R6,Five-Missing Worst,0.9948957459988857,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,SVD,SVD64_LOGREG,CLEAN,0.8989166584541634,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,SVD,SVD64_LOGREG,U30,0.8865698467245801,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
