dataset,animal,model,severity_type,severity_value,severity_unit,CN_BalAcc,n_sessions_contributing
Allen VBN,524760,SVM,CLEAN_REFERENCE,0.0,none,0.9901241988300041,1
Allen VBN,524760,SVM,TEMPORAL,2.0,bins,0.9886054235069609,1
Allen VBN,524760,SVM,TEMPORAL,3.0,bins,0.9873134280631631,1
Allen VBN,524760,SVM,TEMPORAL,5.0,bins,0.983148374503813,1
Allen VBN,524760,SVM,TEMPORAL,7.0,bins,0.9745229874848493,1
Allen VBN,524760,SVM,TEMPORAL,10.0,bins,0.9321352170405246,1
Allen VBN,524760,SVM,UNIT,0.1,proportion,0.9871536625970664,1
Allen VBN,524760,SVM,UNIT,0.2,proportion,0.9872772117865877,1
Allen VBN,524760,SVM,UNIT,0.3,proportion,0.983983414516059,1
Allen VBN,524760,SVM,UNIT,0.4,proportion,0.9797586805312933,1
Allen VBN,524760,SVM,UNIT,0.5,proportion,0.9731260647311,1
Allen VBN,524761,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9940547691411913,2
Allen VBN,524761,MM-RVD,TEMPORAL,2.0,bins,0.9941308740052823,2
Allen VBN,524761,MM-RVD,TEMPORAL,3.0,bins,0.9940094284027841,2
Allen VBN,524761,MM-RVD,TEMPORAL,5.0,bins,0.9932315873323012,2
Allen VBN,524761,MM-RVD,TEMPORAL,7.0,bins,0.9924393969950864,2
Allen VBN,524761,MM-RVD,TEMPORAL,10.0,bins,0.9890041272550765,2
Allen VBN,524761,MM-RVD,UNIT,0.1,proportion,0.9939580672689972,2
Allen VBN,524761,MM-RVD,UNIT,0.2,proportion,0.9938481530250205,2
Allen VBN,524761,MM-RVD,UNIT,0.3,proportion,0.9943629541652201,2
Allen VBN,524761,MM-RVD,UNIT,0.4,proportion,0.9933686625746553,2
Allen VBN,524761,MM-RVD,UNIT,0.5,proportion,0.9928535569381097,2
Allen VBN,524761,SVM,CLEAN_REFERENCE,0.0,none,0.9830138688598833,2
